training_step, return
526699,520.0
527461,390.0
527861,185.0
528544,395.0
529118,290.0
529856,620.0
530373,320.0
530880,170.0
531265,180.0
532189,505.0
532613,180.0
533729,740.0
534491,485.0
535463,570.0
535935,210.0
536618,450.0
537160,260.0
537671,240.0
538258,250.0
538720,215.0
539102,120.0
539788,560.0
540301,285.0
540776,230.0
541417,280.0
542196,570.0
542692,265.0
543378,315.0
543826,170.0
544236,225.0
545209,670.0
545750,240.0
546418,505.0
547289,475.0
547801,230.0
548582,485.0
549141,205.0
549931,220.0
550585,300.0
551146,300.0
551791,255.0
552418,315.0
552900,285.0
553677,595.0
554082,210.0
554834,305.0
555522,340.0
556081,240.0
556643,335.0
557121,210.0
557740,265.0
558500,380.0
558981,230.0
559691,395.0
560217,260.0
560847,305.0
561476,380.0
562178,575.0
562935,425.0
563408,205.0
563849,180.0
564324,215.0
564752,215.0
565434,305.0
566400,570.0
567041,365.0
567519,215.0
567940,150.0
568310,90.0
569160,420.0
569571,180.0
570386,390.0
571135,495.0
571905,330.0
572451,315.0
572984,240.0
573571,310.0
573970,180.0
574568,250.0
574932,165.0
575348,230.0
575923,380.0
576927,465.0
577431,230.0
577839,185.0
579020,910.0
579645,415.0
580247,165.0
580770,300.0
581130,80.0
581650,245.0
582115,240.0
582752,305.0
583660,490.0
584140,125.0
584574,290.0
585305,375.0
585996,440.0
586668,415.0
587210,255.0
587749,220.0
588415,665.0
589124,355.0
589916,350.0
590356,185.0
590871,220.0
591423,270.0
591951,210.0
592435,205.0
593097,305.0
593594,260.0
594526,445.0
595209,320.0
595611,170.0
596184,305.0
596690,330.0
597318,265.0
597855,300.0
598504,325.0
599133,300.0
599655,265.0
600360,325.0
600955,315.0
601594,290.0
602230,340.0
602925,390.0
603393,185.0
604051,430.0
604505,235.0
605133,320.0
605857,305.0
606605,425.0
607423,495.0
608737,515.0
609286,240.0
610356,545.0
611189,640.0
611859,410.0
612463,285.0
613073,260.0
613558,285.0
614088,260.0
614965,465.0
615599,390.0
615965,185.0
616733,495.0
617342,305.0
618038,425.0
618679,420.0
619318,405.0
620048,395.0
620557,265.0
621139,265.0
621733,620.0
622405,405.0
623204,420.0
623695,215.0
624513,655.0
624982,125.0
625754,340.0
626310,290.0
626972,290.0
627773,435.0
628472,515.0
629317,635.0
629870,325.0
630771,545.0
631456,395.0
632104,285.0
632874,400.0
633387,175.0
634187,510.0
634947,425.0
635669,615.0
636278,230.0
636999,325.0
637473,225.0
638294,430.0
639164,460.0
639693,240.0
640467,475.0
640975,245.0
641939,545.0
642528,290.0
643186,270.0
643570,115.0
644191,280.0
644863,305.0
645457,315.0
646135,330.0
646887,440.0
647549,315.0
648176,535.0
648961,340.0
649666,415.0
650353,590.0
650967,385.0
651683,380.0
652406,570.0
653110,565.0
654142,550.0
654828,310.0
655526,435.0
656472,580.0
657048,330.0
657759,330.0
658411,445.0
659073,335.0
659842,425.0
660710,500.0
661494,690.0
662235,395.0
662740,170.0
663470,365.0
664027,200.0
664673,390.0
665320,535.0
666307,500.0
666718,140.0
667834,555.0
668286,210.0
669089,635.0
669580,255.0
670258,550.0
670777,235.0
671353,310.0
672130,580.0
672680,345.0
673711,500.0
674241,275.0
675012,490.0
675769,590.0
676332,330.0
677188,395.0
677952,630.0
678655,470.0
679568,450.0
680337,405.0
680984,440.0
681503,215.0
682204,395.0
682871,340.0
683638,455.0
684353,255.0
685227,470.0
685984,350.0
686704,560.0
687105,160.0
687863,415.0
688564,475.0
689131,260.0
689618,230.0
690251,565.0
691087,445.0
691754,585.0
692223,260.0
692767,235.0
693430,390.0
694215,370.0
695217,975.0
695904,365.0
696573,365.0
696953,155.0
697695,345.0
698416,345.0
699061,415.0
699704,400.0
700239,365.0
700826,330.0
701551,390.0
702201,335.0
702995,420.0
703529,320.0
704264,345.0
705104,655.0
705718,355.0
706250,345.0
706845,360.0
707638,465.0
708198,280.0
708774,240.0
709804,730.0
710420,365.0
711022,390.0
711912,465.0
712979,605.0
713693,445.0
714484,565.0
715242,310.0
715735,235.0
716710,550.0
717305,340.0
718261,525.0
718810,255.0
719468,405.0
720453,520.0
721147,385.0
722044,570.0
722682,365.0
723438,405.0
724152,400.0
724774,270.0
725724,515.0
726686,515.0
727611,340.0
728461,545.0
729224,515.0
729820,220.0
730413,365.0
730943,260.0
731589,365.0
732644,725.0
733504,480.0
734166,375.0
734946,380.0
735622,330.0
736402,485.0
737243,545.0
738110,550.0
738689,290.0
739349,365.0
740025,415.0
740929,800.0
741490,315.0
742135,335.0
742654,230.0
743311,340.0
743737,110.0
744395,385.0
744988,365.0
745663,465.0
746395,455.0
747199,465.0
747742,270.0
748318,390.0
748900,390.0
749689,495.0
750344,440.0
750948,395.0
751641,455.0
752300,390.0
